Model Names,num_units,dropout,optimizer,learning_rate,IMAGE_SIZE,BATCH_SIZE,DATASET_SIZE,MAX_EPOCHS,K_FOLDS,Accuracy,K_accuracy,Precision,Recall,f1 Score,True Negatives, False Positives,False Negatives,True Positives,Training Time
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-135128.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-135726.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-140009.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-140324.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-140915.h5']",N/A,0.1,adam,0.0005,224,32,1500,20,5,0.9165,0.9165000081062317,0.874385348074394,0.975,0.9213018758217534,171,28,5,195,327.0586003724
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-141158.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-141645.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-142436.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-142950.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-143407.h5']",N/A,0.1,adam,0.001,224,32,1500,20,5,0.8965,0.8965000033378601,0.8616750385166912,0.953,0.9026539262985205,168,32,9,190,399.27646057219994
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-143650.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-144240.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-145207.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-145855.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-150619.h5']",N/A,0.1,sgd,0.0005,224,32,1500,20,5,0.7815,0.781499981880188,0.7256635864722762,0.906,0.8044674093976106,131,68,18,181,541.9227446740003
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-151034.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-151855.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-152545.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-153519.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-154041.h5']",N/A,0.1,sgd,0.001,224,32,1500,20,5,0.8275,0.8274999976158142,0.7992290410041447,0.886,0.8350875055730355,153,46,22,177,619.9353145990004
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-154910.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-155325.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-155534.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-155744.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-160436.h5']",N/A,0.2,adam,0.0005,224,32,1500,20,5,0.929,0.9290000081062317,0.903600242789741,0.962,0.93162743773557,179,20,7,192,282.4089610497995
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-160647.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-161000.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-161345.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-161619.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-161823.h5']",N/A,0.2,adam,0.001,224,32,1500,20,5,0.898,0.8979999899864197,0.9014633678958308,0.898,0.891106987058526,179,20,20,179,260.77113256820013
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-162258.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-162734.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-163643.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-164149.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-164526.h5']",N/A,0.2,sgd,0.0005,224,32,1500,20,5,0.765,0.7649999976158142,0.738167348059518,0.843,0.7825084423010714,137,62,31,168,512.6240307236
"['trained classifiers/SqueezeNet-Binary-Fold-0-20220324-165439.h5', 'trained classifiers/SqueezeNet-Binary-Fold-1-20220324-165746.h5', 'trained classifiers/SqueezeNet-Binary-Fold-2-20220324-170729.h5', 'trained classifiers/SqueezeNet-Binary-Fold-3-20220324-171034.h5', 'trained classifiers/SqueezeNet-Binary-Fold-4-20220324-171409.h5']",N/A,0.2,sgd,0.001,224,32,1500,20,5,0.771,0.7709999918937683,0.7624577091193422,0.837,0.7856922088391893,141,59,32,167,406.01547450760006
